"","ID","area","Event_date","Event_type"
"0",1,1.3,"10/07/2020","1"
"1",2,0.9,"13/06/2020","1"
"2",3,0.8,"01/07/2020","1"
"3",4,1.3,"27/06/2020","1"
"4",5,1.2,"25/07/2020","1"
"5",6,1.3,"30/06/2020","1"
"6",7,1.2,"09/07/2020","1"
"7",8,2.1,"13/06/2020","1"
"8",9,0.9,"28/06/2020","1"
"9",10,2.1,"15/05/2020","1"
"01",1,1.3,"09/09/2020","1"
"21",3,0.8,"10/09/2020","1"
"31",4,1.3,"18/09/2020","1"
"41",5,1.2,"09/09/2020","1"
"61",7,1.2,"25/10/2020","1"
"81",9,0.9,"09/09/2020","1"
"91",10,2.1,"20/07/2020","1"
