FID,acq_date,b08_mean,b08_count,b08_std,b11_mean,b11_count,b11_std,b04_mean,b04_count,b04_std,red,green,blue,class
10800,2020-09-22,3912.439024390244,246,250.35302898895043,2343.882113821138,246,76.73063356807613,435.0487804878051,246,21.827656547221327,126.0,57.0,10.0,7.0
4778,2020-04-17,5010.666666666668,210,325.4229685393313,1920.4380952380955,210,104.55244546548808,361.11428571428564,210,99.19661152239841,232.0,86.0,15.0,5.0
11094,2020-07-06,6217.216722408035,2990,1760.1703658499387,2263.484280936451,2990,670.3629988829913,343.06254180602014,2990,93.7860425725812,133.0,55.0,26.0,7.0
9169,2020-07-26,6012.725,80,740.2149016555337,2202.35,80,173.62618801481807,461.775,80,107.98241476617468,100.0,70.0,31.0,7.0
5292,2020-09-17,2815.4000000000005,10,100.24880159993036,2050.9,10,93.43976074931324,845.9,10,39.47559020739553,53.0,15.0,16.0,3.0
9234,2020-03-03,3225.575757575758,66,384.004890217502,1379.0,66,146.4603910750144,368.7878787878788,66,31.724542865841602,162.0,63.0,20.0,5.0
420,2020-08-08,3853.775112443777,667,226.79297708428848,2372.071964017992,667,142.03178463441574,682.7226386806592,667,80.0485371542442,166.0,66.0,20.0,5.0
7959,2020-11-03,4266.534201954399,307,403.162078335876,2042.094462540716,307,79.50755833240945,320.66123778501617,307,27.890001530853052,49.0,35.0,35.0,3.0
9805,2020-03-28,4489.818181818181,44,477.0642427962477,2451.5,44,109.47368803549554,505.2045454545456,44,56.517780509695214,160.0,73.0,20.0,7.0
6317,2020-11-23,3310.7168141592933,113,517.260891431051,1548.8053097345125,113,148.944192473406,287.5309734513275,113,103.91901644313332,184.0,64.0,19.0,5.0
13677,2020-09-17,2682.5975308641987,405,304.65901811799495,2678.772839506173,405,303.4661606285288,695.2345679012344,405,110.4094619910448,255.0,119.0,17.0,5.0
9338,2020-07-21,2446.5,20,643.5642118210444,1993.0,20,254.5121235867392,1105.75,20,362.84705709445296,199.0,72.0,8.0,5.0
10892,2020-05-27,3521.487804878049,41,310.2875377735319,2958.902439024389,41,350.7643656985446,1151.7560975609756,41,216.3362868877763,183.0,92.0,17.0,5.0
14136,2020-03-03,3437.9829059829076,117,444.0866252655642,1958.3418803418808,117,191.0186469681356,400.2051282051284,117,100.9590680511199,173.0,76.0,26.0,5.0
2988,2020-06-24,3588.0506329113928,158,331.5438274525555,3254.367088607594,158,242.17507891244057,536.7278481012662,158,41.49401748516992,130.0,82.0,22.0,7.0
7307,2020-05-07,3157.0212765957444,47,412.3777019950069,2438.638297872341,47,361.6786001489933,807.2553191489361,47,235.87289024287293,42.0,73.0,52.0,4.0
6058,2019-12-29,2371.124183006535,153,96.49156768867913,1049.4313725490192,153,18.8842613061088,1093.8823529411764,153,28.195963964740248,64.0,27.0,60.0,2.0
2545,2020-07-06,3585.0882352941194,136,520.6827351424107,2440.6838235294117,136,161.20172327936,737.5073529411768,136,112.43704387088205,0.0,0.0,0.0,3.0
